History Index - RR,R-R Interval(ms) - RR
915,811.198
916,807.292
917,805.99
918,798.177
919,791.016
920,785.807
921,791.016
922,768.88
923,741.536
924,770.833
925,771.484
926,771.484
927,809.896
928,731.771
929,810.547
930,750
931,803.385
932,772.135
933,807.943
934,839.193
935,777.344
936,768.88
937,752.604
938,777.344
939,725.911
940,697.266
941,712.891
942,740.234
943,688.802
944,678.385
945,671.875
946,686.849
947,662.109
948,660.807
949,666.667
950,677.083
951,688.802
952,671.224
953,735.026
954,749.349
955,763.021
956,776.693
957,746.094
958,843.099
959,799.479
960,802.083
961,764.323
962,785.156
963,722.005
964,658.854
965,651.042
966,645.182
967,676.432
968,649.74
969,711.589
970,757.161
971,757.161
972,754.557
973,750
974,713.542
975,773.437
976,720.703
977,712.24
978,703.125
979,694.01
980,714.193
981,655.599
982,669.271
983,666.667
984,665.365
985,666.667
986,667.318
987,686.849
988,664.714
989,664.714
990,666.016
991,666.667
992,667.318
993,671.875
994,679.687
995,686.198
996,694.01
997,701.823
998,709.635
999,716.146
1000,716.797
1001,718.75
1002,716.797
1003,716.797
1004,720.703
1005,727.214
1006,701.823
1007,763.021
1008,771.484
1009,776.693
1010,776.042
1011,776.042
1012,813.151
1013,765.625
1014,769.531
1015,731.771
1016,793.62
1017,792.969
1018,790.365
1019,745.443
1020,801.432
1021,845.052
1022,791.667
1023,797.526
1024,757.812
1025,860.026
1026,806.641
1027,807.292
1028,762.37
1029,824.219
1030,869.792
1031,804.687
1032,799.479
1033,798.177
1034,845.052
1035,780.599
1036,779.297
1037,779.948
1038,778.646
1039,770.182
1040,757.161
1041,744.792
1042,701.172
1043,727.865
1044,722.656
1045,720.703
1046,723.307
1047,731.771
1048,770.182
1049,744.141
1050,753.255
1051,764.974
1052,774.089
1053,783.854
1054,744.141
1055,819.01
1056,823.568
1057,822.266
1058,825.521
1059,821.615
1060,875
1061,809.896
1062,809.245
1063,808.594
1064,799.479
1065,794.271
1066,780.599
1067,768.229
1068,720.703
1069,766.276
1070,770.182
1071,770.182
1072,770.182
1073,770.833
1074,809.896
1075,761.068
1076,756.51
1077,751.953
1078,746.745
1079,746.745
1080,750
1081,754.557
1082,762.37
1083,776.042
1084,788.411
1085,794.271
1086,794.922
1087,800.13
1088,801.432
1089,796.224
1090,791.016
1091,785.807
1092,779.297
1093,765.625
1094,719.401
1095,762.37
1096,762.37
1097,762.37
1098,767.578
1099,774.74
1100,820.312
1101,781.901
1102,782.552
1103,789.062
1104,791.667
1105,790.365
1106,744.141
1107,794.922
1108,798.177
1109,798.177
1110,799.479
1111,803.385
1112,845.703
1113,791.016
1114,789.714
1115,785.156
1116,777.995
1117,770.182
1118,772.135
1119,775.391
1120,781.25
1121,802.083
1122,818.359
1123,835.286
1124,845.703
1125,850.911
1126,853.516
1127,841.797
1128,838.542
1129,840.495
1130,845.703
1131,852.865
1132,859.375
1133,867.187
1134,877.604
1135,882.812
1136,884.115
1137,878.906
1138,875
1139,878.906
1140,875
1141,867.187
1142,862.63
1143,859.375
1144,852.214
1145,840.495
1146,833.984
1147,828.776
1148,826.172
1149,830.078
1150,830.078
1151,823.568
1152,817.057
1153,811.198
1154,800.781
1155,802.734
1156,822.266
1157,840.495
1158,813.151
1159,900.391
1160,916.016
1161,910.807
1162,894.531
1163,879.557
1164,908.203
1165,832.682
1166,832.682
1167,834.635
1168,854.167
1169,891.927
1170,921.224
1171,870.443
1172,975.911
1173,1000
1174,1004.56
1175,923.177
1176,990.885
1177,1054.04
1178,952.474
1179,933.594
1180,921.224
1181,924.479
1182,906.901
1183,840.495
1184,888.672
1185,847.656
1186,854.818
1187,882.161
1188,788.411
1189,823.568
1190,748.047
1191,731.12
1192,752.604
1193,761.068
1194,770.833
1195,777.344
1196,786.458
1197,785.807
1198,799.479
1199,777.344
1200,813.802
1201,813.151
1202,807.943
1203,852.214
1204,792.969
1205,816.406
1206,742.839
1207,808.594
1208,818.359
1209,817.708
1210,772.786
1211,826.823
1212,865.885
1213,803.385
1214,798.828
1215,802.734
1216,804.036
1217,819.661
1218,824.87
1219,824.219
1220,778.646
1221,829.427
1222,868.49
1223,792.969
1224,746.745
1225,790.365
1226,829.427
1227,768.88
1228,766.276
1229,733.073
1230,819.661
1231,770.182
1232,764.974
1233,759.766
1234,726.562
1235,802.083
1236,751.302
1237,750
1238,753.906
1239,725.26
1240,804.036
1241,761.719
1242,755.859
1243,721.354
1244,755.859
1245,785.156
1246,736.328
1247,739.583
1248,714.844
1249,826.823
1250,768.88
1251,842.448
1252,861.328
1253,870.443
1254,864.583
1255,854.167
1256,883.464
1257,818.359
1258,804.687
1259,757.161
1260,871.094
1261,821.615
1262,831.38
1263,839.844
1264,850.911
1265,901.693
1266,840.495
1267,786.458
1268,854.167
1269,858.073
1270,854.167
1271,850.911
1272,844.401
1273,888.021
1274,809.896
1275,755.859
1276,818.359
1277,811.849
1278,805.339
1279,802.734
1280,802.734
1281,849.609
1282,789.062
1283,798.828
1284,807.292
1285,814.453
1286,822.266
1287,824.87
1288,824.87
1289,828.125
1290,839.193
1291,848.307
1292,856.12
1293,871.745
1294,891.276
1295,894.531
1296,893.88
1297,895.182
1298,890.625
1299,876.302
1300,861.328
1301,856.771
1302,849.609
1303,841.146
1304,839.193
1305,842.448
1306,842.448
1307,835.937
1308,835.937
1309,840.495
1310,843.099
1311,841.146
1312,839.193
1313,845.703
1314,843.75
1315,840.495
1316,843.75
1317,851.562
1318,861.328
1319,818.359
1320,893.88
1321,915.365
1322,934.896
1323,878.255
1324,958.984
1325,1014.97
1326,949.87
1327,936.849
1328,881.51
1329,845.703
1330,808.594
1331,815.755
1332,808.594
1333,763.021
1334,804.687
1335,844.401
1336,799.479
1337,735.026
1338,726.562
1339,740.234
1340,708.984
1341,700.521
1342,720.052
1343,745.443
1344,735.677
1345,710.937
1346,738.932
1347,768.88
1348,720.703
1349,686.198
1350,747.396
1351,794.271
1352,789.062
1353,812.5
1354,831.38
1355,881.51
1356,835.286
1357,837.24
1358,833.333
1359,832.682
1360,834.635
1361,836.589
1362,838.542
1363,842.448
1364,854.818
1365,857.422
1366,860.026
1367,861.979
1368,863.932
1369,856.771
1370,841.146
1371,835.937
1372,832.682
1373,824.219
1374,817.708
1375,821.615
1376,828.125
1377,830.729
1378,830.078
1379,839.193
1380,848.307
1381,849.609
1382,845.703
1383,848.307
1384,846.354
1385,836.589
1386,828.776
1387,826.823
1388,825.521
1389,817.708
1390,819.01
1391,824.87
1392,822.266
1393,817.057
1394,816.406
1395,819.661
1396,815.755
1397,809.245
1398,813.802
1399,820.312
1400,824.87
1401,829.427
1402,849.609
1403,867.839
1404,881.51
1405,894.531
1406,905.599
1407,912.109
1408,902.344
1409,896.484
1410,886.068
1411,870.443
1412,859.375
1413,850.911
1414,841.146
1415,827.474
1416,817.057
1417,808.594
1418,789.062
1419,774.089
1420,765.625
1421,755.859
1422,751.953
1423,774.74
1424,802.734
1425,820.312
1426,843.099
1427,863.932
1428,875.651
1429,860.026
1430,843.75
1431,830.729
1432,806.641
1433,787.109
1434,776.693
1435,767.578
1436,763.021
1437,765.625
1438,779.948
1439,787.109
1440,789.714
1441,793.62
1442,796.224
1443,790.365
1444,775.391
1445,771.484
1446,768.88
1447,761.719
1448,754.557
1449,755.208
1450,761.719
1451,764.323
1452,762.37
1453,770.182
1454,787.109
1455,796.875
1456,798.828
1457,804.687
1458,815.104
1459,817.057
1460,807.943
1461,810.547
1462,816.406
1463,816.406
1464,815.104
1465,820.312
1466,827.474
1467,828.776
1468,833.333
1469,842.448
1470,847.005
1471,845.052
1472,844.401
1473,838.542
1474,826.823
1475,809.896
1476,798.177
1477,796.224
1478,787.76
1479,780.599
1480,780.599
1481,789.714
1482,792.969
1483,787.109
1484,790.365
1485,798.828
1486,803.385
1487,804.687
1488,815.104
1489,823.568
1490,821.615
1491,815.755
1492,811.849
1493,805.99
1494,795.573
1495,788.411
1496,793.62
1497,800.13
1498,799.479
1499,799.479
1500,802.734
1501,809.896
1502,807.292
1503,804.036
1504,807.943
1505,809.896
1506,803.385
1507,794.271
1508,796.224
1509,794.271
1510,784.505
1511,775.391
1512,771.484
1513,770.182
1514,759.766
1515,751.302
1516,751.302
1517,757.161
1518,722.005
1519,763.021
1520,766.276
1521,771.484
1522,771.484
1523,765.625
1524,764.323
1525,794.271
1526,805.339
1527,811.198
1528,773.437
1529,845.052
1530,852.214
1531,835.937
1532,827.474
1533,795.573
1534,762.37
1535,684.245
1536,715.495
1537,658.203
1538,654.948
1539,683.594
1540,719.401
1541,787.76
1542,799.479
1543,806.641
1544,769.531
1545,824.219
1546,865.234
1547,804.687
1548,755.859
1549,793.62
1550,831.38
1551,771.484
1552,729.167
1553,778.646
1554,821.615
1555,784.505
1556,744.141
1557,805.339
1558,853.516
1559,813.802
1560,812.5
1561,808.594
1562,807.943
1563,818.359
1564,819.661
1565,817.708
1566,776.693
1567,839.193
1568,886.068
1569,818.359
1570,814.453
1571,820.964
1572,819.01
1573,821.615
1574,781.25
1575,833.984
1576,826.823
