History Index - RR,R-R Interval(ms) - RR,
2002,822.266,72.96908786
2003,824.219,72.79618645
2004,821.615,73.02690433
2005,810.547,74.02408497
2006,807.943,74.26266457
2007,791.016,75.85181589
2008,779.297,76.99246885
2009,777.995,77.12131826
2010,768.88,78.03558423
2011,764.323,78.50084323
2012,758.464,79.10724833
2013,763.672,78.56776208
2014,761.068,78.83658228
2015,764.974,78.43403828
2016,783.203,76.60849103
2017,794.922,75.47910361
2018,795.573,75.41734071
2019,798.828,75.1100362
2020,811.198,73.9646794
2021,809.245,74.14318284
2022,798.828,75.1100362
2023,796.875,75.29411765
2024,809.245,74.14318284
2025,808.594,74.20287561
2026,803.385,74.68399335
2027,809.896,74.08358604
2028,824.87,72.73873459
2029,826.172,72.62410249
2030,828.125,72.45283019
2031,843.75,71.11111111
2032,853.516,70.29745195
2033,848.307,70.72911104
2034,840.495,71.38650438
2035,847.005,70.83783449
2036,843.099,71.16601965
2037,826.172,72.62410249
2038,820.312,73.14290173
2039,828.776,72.3959188
2040,828.776,72.3959188
2041,814.453,73.66907605
2042,807.292,74.32254996
2043,808.594,74.20287561
2044,807.292,74.32254996
2045,794.922,75.47910361
2046,789.714,75.97687264
2047,798.828,75.1100362
2048,803.385,74.68399335
2049,808.594,74.20287561
2050,814.453,73.66907605
2051,828.776,72.3959188
2052,830.078,72.28236383
2053,832.682,72.05631922
2054,839.193,71.49725987
2055,834.635,71.88771139
2056,828.125,72.45283019
2057,820.964,73.08481249
2058,826.823,72.56692182
2059,815.104,73.61023869
2060,799.479,75.04887558
2061,797.526,75.23265699
2062,806.641,74.38253201
2063,807.943,74.26266457
2064,809.245,74.14318284
2065,823.568,72.85372914
2066,836.589,71.71980507
2067,832.031,72.11269772
2068,820.312,73.14290173
2069,820.312,73.14290173
2070,819.01,73.25917876
2071,811.849,73.9053691
2072,819.661,73.20099407
2073,850.911,70.51266231
2074,861.979,69.60726421
2075,873.047,68.72482237
2076,884.766,67.81454079
2077,886.719,67.66517916
2078,878.906,68.26668608
2079,857.422,69.97721076
2080,852.865,70.35111067
2081,851.562,70.45875697
2082,850.26,70.5666502
2083,854.818,70.19037971
2084,850.26,70.5666502
2085,852.214,70.40485136
2086,858.073,69.92412068
2087,849.609,70.62072083
2088,848.958,70.67487438
2089,862.63,69.55473378
2090,869.141,69.03367808
2091,876.953,68.41871799
2092,883.464,67.91448208
2093,882.812,67.96464026
2094,875.651,68.52044936
2095,863.932,69.44991041
2096,856.12,70.08363314
2097,844.401,71.05628724
2098,834.635,71.88771139
2099,829.427,72.33909675
2100,825.521,72.68137334
2101,821.615,73.02690433
2102,816.406,73.49284547
2103,805.99,74.44261095
2104,794.271,75.54096776
2105,790.365,75.91429276
2106,774.089,77.51046714
2107,752.604,79.72320105
2108,738.281,81.26986879
2109,725.911,82.65476071
2110,726.562,82.58070199
2111,725.911,82.65476071
2112,733.073,81.84723759
2113,751.953,79.79222106
2114,772.786,77.6411581
2115,785.156,76.41793478
2116,784.505,76.48134811
2117,794.922,75.47910361
2118,798.177,75.17129659
2119,789.714,75.97687264
2120,786.458,76.29142306
2121,797.526,75.23265699
2122,791.667,75.78944177
2123,777.995,77.12131826
2124,774.74,77.4453365
2125,779.297,76.99246885
2126,776.042,77.31540303
2127,777.995,77.12131826
2128,798.828,75.1100362
2129,810.547,74.02408497
2130,822.266,72.96908786
2131,822.266,72.96908786
2132,857.422,69.97721076
2133,802.083,74.80522589
2134,783.203,76.60849103
2135,772.135,77.70661866
2136,755.208,79.44831093
2137,739.583,81.12679713
2138,697.266,86.05037389
2139,735.026,81.62976548
2140,731.12,82.06587154
2141,725.26,82.72895238
2142,716.146,83.78179868
2143,716.146,83.78179868
2144,713.542,84.08755196
2145,715.495,83.85802836
2146,714.193,84.01090462
2147,720.052,83.32731525
2148,736.979,81.41344597
2149,755.859,79.37988434
2150,772.786,77.6411581
2151,788.411,76.10243896
2152,810.547,74.02408497
2153,826.823,72.56692182
2154,830.078,72.28236383
2155,833.333,72.0000288
2156,837.891,71.60835956
2157,865.234,69.34540252
2158,807.943,74.26266457
2159,790.365,75.91429276
2160,779.948,76.92820547
2161,763.672,78.56776208
2162,754.557,79.51685559
2163,730.469,82.13900932
2164,772.786,77.6411581
2165,776.042,77.31540303
2166,786.458,76.29142306
2167,795.573,75.41734071
2168,794.922,75.47910361
2169,796.224,75.3556788
2170,810.547,74.02408497
2171,812.5,73.84615385
2172,814.453,73.66907605
2173,830.729,72.22571982
2174,839.844,71.4418392
2175,845.703,70.9468927
2176,852.214,70.40485136
2177,857.422,69.97721076
2178,860.677,69.71256348
2179,856.12,70.08363314
2180,849.609,70.62072083
2181,841.797,71.2760915
2182,839.193,71.49725987
2183,838.542,71.55276659
2184,843.099,71.16601965
2185,847.656,70.78343101
2186,848.958,70.67487438
2187,840.495,71.38650438
2188,831.38,72.16916452
2189,839.193,71.49725987
2190,828.125,72.45283019
2191,819.01,73.25917876
2192,832.682,72.05631922
2193,839.193,71.49725987
2194,845.052,71.00154783
2195,852.214,70.40485136
2196,863.932,69.44991041
2197,856.12,70.08363314
2198,842.448,71.22101305
2199,839.844,71.4418392
2200,841.797,71.2760915
2201,832.031,72.11269772
2202,839.193,71.49725987
2203,858.073,69.92412068
2204,861.979,69.60726421
2205,866.536,69.24120867
2206,866.536,69.24120867
2207,863.932,69.44991041
2208,836.589,71.71980507
2209,808.594,74.20287561
2210,796.875,75.29411765
2211,780.599,76.86404927
2212,755.208,79.44831093
2213,733.073,81.84723759
2214,723.958,82.877736
2215,719.401,83.40271976
2216,712.24,84.24126699
2217,718.75,83.47826087
2218,737.63,81.34159402
2219,758.464,79.10724833
2220,781.25,76.8
2221,807.292,74.32254996
2222,835.286,71.831684
2223,843.75,71.11111111
2224,852.214,70.40485136
2225,873.047,68.72482237
2226,891.927,67.27007928
2227,885.417,67.76468037
2228,883.464,67.91448208
2229,902.344,66.49348807
2230,913.411,65.68784479
2231,910.156,65.92276489
2232,898.437,66.78264586
2233,934.896,64.17826154
2234,908.854,66.01720408
2235,825.521,72.68137334
2236,787.109,76.22832416
2237,770.833,77.8378715
2238,798.177,75.17129659
2239,789.062,76.03965214
