History Index - RR,R-R Interval(ms) - RR
764,1001.3
765,974.609
766,941.406
767,925.13
768,899.089
769,878.906
770,876.302
771,897.786
772,926.432
773,958.333
774,956.38
775,944.01
776,953.125
777,955.078
778,965.495
779,968.75
780,988.281
781,1013.67
782,1006.51
783,991.536
784,975.911
785,972.005
786,967.448
787,967.448
788,975.26
789,998.698
790,992.839
791,981.12
792,976.562
793,952.474
794,911.458
795,867.187
796,858.724
797,866.536
798,893.88
799,897.135
800,926.432
801,970.052
802,994.792
803,994.792
804,977.214
805,994.792
806,982.422
807,967.448
808,969.401
809,957.031
810,965.495
811,977.865
812,1003.26
813,1057.94
814,1000.65
815,1001.95
816,972.656
817,942.057
818,933.594
819,900.391
820,959.635
821,962.24
822,982.422
823,998.698
824,981.12
825,935.547
826,895.182
827,884.115
828,878.255
829,861.979
830,853.516
831,843.099
832,724.609
833,708.984
834,610.677
835,530.599
836,515.625
837,518.229
838,638.021
839,658.854
840,730.469
841,789.062
842,790.365
843,783.854
844,768.88
845,744.792
846,760.417
847,796.224
848,854.818
849,904.297
850,939.453
851,932.943
852,842.448
853,704.427
854,570.964
855,553.385
856,440.104
857,365.885
858,460.937
859,604.818
860,733.073
861,746.745
862,854.818
863,973.958
864,1004.56
865,993.49
866,1000.65
867,1011.07
868,1014.32
869,1021.48
870,1016.93
871,1022.14
872,1019.53
873,1018.23
874,1022.79
875,1028.65
876,1024.09
877,1020.18
878,1011.07
879,999.349
880,1000.65
881,996.094
882,987.63
883,981.12
884,977.214
885,987.63
886,980.469
887,977.865
888,985.677
889,1000
890,980.469
891,957.031
892,972.005
893,975.26
894,953.776
895,943.359
896,963.542
897,975.26
898,957.031
899,942.708
900,962.24
901,962.24
902,944.661
903,796.875
904,751.953
905,608.073
906,493.49
907,468.099
908,335.937
909,478.516
910,536.458
911,628.255
912,621.094
913,645.182
914,725.26
915,583.984
916,452.474
917,382.812
918,409.505
919,284.505
920,263.672
921,304.687
922,424.479
923,551.432
924,507.161
925,548.828
926,497.396
927,462.24
928,472.656
929,480.469
930,603.516
931,688.151
932,822.266
933,971.354
934,965.495
935,951.823
936,815.755
937,813.802
938,667.969
939,646.484
940,660.156
941,676.432
942,824.219
943,826.172
944,977.865
945,985.026
946,839.844
947,820.312
948,822.266
949,837.24
950,819.661
951,809.896
952,955.729
953,932.292
954,813.802
955,793.62
956,781.25
957,781.901
958,781.901
959,807.292
960,917.318
961,951.823
962,988.932
963,996.745
964,977.865
965,847.005
966,866.536
967,841.797
968,832.031
969,966.797
970,1001.95
971,1007.81
972,860.026
973,900.391
974,760.417
975,620.443
976,597.656
977,716.146
978,822.917
979,750.651
980,854.818
981,858.724
982,843.75
983,854.167
984,890.625
985,934.245
986,841.797
987,710.937
988,606.12
989,503.906
990,492.187
991,493.49
992,610.026
993,744.792
994,881.51
995,1000
996,1005.86
997,1014.97
998,1012.37
999,999.349
1000,956.38
1001,909.505
1002,932.292
1003,897.135
1004,906.25
1005,934.896
1006,979.818
1007,1004.56
1008,837.891
1009,845.052
1010,849.609
1011,862.63
1012,866.536
1013,875.651
1014,1026.04
1015,1048.18
1016,1035.16
1017,983.073
1018,936.849
1019,951.823
1020,964.193
1021,964.193
1022,962.891
1023,979.818
1024,1001.95
1025,988.932
1026,957.031
1027,942.708
1028,948.568
1029,936.198
1030,938.802
1031,922.526
1032,905.599
1033,867.839
1034,826.823
1035,801.432
1036,752.604
1037,727.865
1038,728.516
1039,759.115
1040,797.526
1041,838.542
1042,880.208
1043,899.74
1044,892.578
1045,861.979
1046,829.427
1047,794.271
1048,760.417
1049,750.651
1050,741.536
1051,734.375
1052,727.214
1053,723.958
1054,727.865
1055,725.26
1056,742.187
1057,759.766
1058,782.552
1059,834.635
1060,878.906
1061,910.156
1062,943.359
1063,966.797
1064,981.12
1065,958.984
1066,941.406
1067,961.589
1068,975.26
1069,974.609
1070,883.464
1071,817.708
1072,805.339
1073,772.135
1074,726.562
1075,719.401
1076,837.891
1077,917.969
1078,945.312
1079,964.193
1080,975.26
1081,972.005
1082,936.849
1083,920.573
